"Codi";"Nom";"Codi comarca";"Nom comarca";"negatius";"positius"
82055;"Sant Cugat del Vallès";40;"Vallès Occidental";203;191
82080;"Sant Esteve Sesrovires";11;"Baix Llobregat";23;8
82074;"Sant Esteve de Palautordera";41;"Vallès Oriental";12;4
251961;"Sant Esteve de la Sarga";25;"Pallars Jussà";0;0
82129;"Sant Feliu Sasserra";7;"Bages";1;0
171595;"Sant Feliu de Buixalleu";34;"Selva";1;2
82107;"Sant Feliu de Codines";41;"Vallès Oriental";9;5
171609;"Sant Feliu de Guíxols";10;"Baix Empordà";24;10
82114;"Sant Feliu de Llobregat";11;"Baix Llobregat";90;45
171616;"Sant Feliu de Pallerols";19;"Garrotxa";3;1
171621;"Sant Ferriol";19;"Garrotxa";0;0
82093;"Sant Fost de Campsentelles";41;"Vallès Oriental";36;29
82135;"Sant Fruitós de Bages";7;"Bages";12;13
171637;"Sant Gregori";20;"Gironès";17;6
251924;"Sant Guim de Freixenet";32;"Segarra";5;4
251977;"Sant Guim de la Plana";32;"Segarra";0;0
171642;"Sant Hilari Sacalm";34;"Selva";9;4
82153;"Sant Hipòlit de Voltregà";24;"Osona";12;21
81939;"Sant Iscle de Vallalta";21;"Maresme";1;1
439023;"Sant Jaume d'Enveja";22;"Montsià";5;0
82166;"Sant Jaume de Frontanyà";14;"Berguedà";0;0
171655;"Sant Jaume de Llierca";19;"Garrotxa";0;2
431378;"Sant Jaume dels Domenys";12;"Baix Penedès";0;2
82172;"Sant Joan Despí";11;"Baix Llobregat";86;33
171680;"Sant Joan de Mollet";20;"Gironès";0;1
82188;"Sant Joan de Vilatorrada";7;"Bages";15;26
171674;"Sant Joan de les Abadesses";31;"Ripollès";2;2
171851;"Sant Joan les Fonts";19;"Garrotxa";11;6
171668;"Sant Jordi Desvalls";20;"Gironès";0;2
89030;"Sant Julià de Cerdanyola";14;"Berguedà";1;0
171693;"Sant Julià de Ramis";20;"Gironès";7;7
82205;"Sant Julià de Vilatorta";24;"Osona";10;21
179032;"Sant Julià del Llor i Bonmatí";34;"Selva";2;0
82212;"Sant Just Desvern";11;"Baix Llobregat";51;25
82233;"Sant Llorenç Savall";40;"Vallès Occidental";5;2
82227;"Sant Llorenç d'Hortons";3;"Alt Penedès";5;2
251930;"Sant Llorenç de Morunys";35;"Solsonès";0;0
171714;"Sant Llorenç de la Muga";2;"Alt Empordà";0;0
82270;"Sant Martí Sarroca";3;"Alt Penedès";7;2
82286;"Sant Martí Sesgueioles";6;"Anoia";1;1
